review,sentiment
Poor,0
Made no sense at all.,0
A must-watch for everyone.,1
Painful to sit through.,0
Painful to sit through.,0
Great,1
Waste of time.,0
Standard,1
Fine,1
A stunning piece of cinema.,1
Fine,1
Brilliant from start to finish.,1
Painful to sit through.,0
Mediocre,1
Decent,1
"Not great, not terrible.",1
Acceptable,1
Terrible plot and worse acting.,0
A decent watch for a lazy evening.,1
Loved every minute of it.,1
Loved every minute of it.,1
Couldn’t finish it.,0
Unwatchable mess.,0
Awful,0
A decent watch for a lazy evening.,1
A decent watch for a lazy evening.,1
Mildly entertaining.,1
Mediocre but watchable.,1
A decent watch for a lazy evening.,1
Incredible acting and direction.,1
Average film experience.,1
Terrible plot and worse acting.,0
Average,1
Boring,0
Wonderful,1
Average,1
"Just fine, nothing more.",1
What a disappointment.,0
Regret watching it.,0
Mildly entertaining.,1
Mildly entertaining.,1
Excellent,1
A delightful journey.,1
Great,1
Perfect,1
Laughably bad.,0
A feel-good experience.,1
Average film experience.,1
Awful,0
Average,1
Had its moments.,1
An absolute masterpiece!,1
Incredible acting and direction.,1
Mediocre,1
Unwatchable mess.,0
Outstanding,1
Normal,1
"Just fine, nothing more.",1
Couldn’t finish it.,0
Terrible plot and worse acting.,0
Painful to sit through.,0
Bad,0
A decent watch for a lazy evening.,1
Superb,1
Terrible,0
A delightful journey.,1
Fine,1
Disappointing,0
Uplifting and powerful.,1
"It was okay, not too bad.",1
Boring,0
Mildly entertaining.,1
Waste of time.,0
Couldn’t finish it.,0
Outstanding,1
"It was okay, not too bad.",1
What a disappointment.,0
Incredible acting and direction.,1
Poor,0
Fine,1
Completely boring.,0
Perfect,1
Average film experience.,1
Brilliant,1
Laughably bad.,0
Horrible,0
Could have been better.,1
Bad,0
Completely boring.,0
Unwatchable mess.,0
"Just fine, nothing more.",1
Average,1
Exceptional,1
Excellent,1
Laughably bad.,0
Typical,1
Lame,0
Excellent,1
A stunning piece of cinema.,1
Average,1
Painful to sit through.,0
Regret watching it.,0
Weak,0
A must-watch for everyone.,1
Wonderful,1
Brilliant from start to finish.,1
A feel-good experience.,1
Amazing,1
Mildly entertaining.,1
Incredible acting and direction.,1
Uplifting and powerful.,1
"Not great, not terrible.",1
Standard,1
Could have been better.,1
Mediocre,1
A must-watch for everyone.,1
Disappointing,0
Laughably bad.,0
A must-watch for everyone.,1
Loved every minute of it.,1
Typical,1
Terrible,0
"Some good, some bad.",1
Waste of time.,0
Mediocre but watchable.,1
A delightful journey.,1
Could have been better.,1
Brilliant from start to finish.,1
Disappointing,0
Boring,0
Average,1
Excellent,1
Horrible,0
Awful,0
Amazing,1
Excellent,1
Unwatchable mess.,0
Mediocre but watchable.,1
Terrible,0
Painful to sit through.,0
Left me in awe.,1
Painful to sit through.,0
"It was okay, not too bad.",1
Unwatchable mess.,0
"Some good, some bad.",1
A delightful journey.,1
Wonderful,1
Exceptional,1
Fantastic,1
Disappointing,0
"Some good, some bad.",1
Boring,0
Fantastic,1
Amazing,1
Boring,0
