review,sentiment
"Some good, some bad.",1
Mildly entertaining.,1
An absolute masterpiece!,1
Completely boring.,0
Loved every minute of it.,1
Loved every minute of it.,1
An absolute masterpiece!,1
"Not great, not terrible.",1
Painful to sit through.,0
Mildly entertaining.,1
An absolute masterpiece!,1
Loved every minute of it.,1
Left me in awe.,1
Laughably bad.,0
Painful to sit through.,0
Regret watching it.,0
"Not great, not terrible.",1
Painful to sit through.,0
"It was okay, not too bad.",1
An absolute masterpiece!,1
A stunning piece of cinema.,1
A stunning piece of cinema.,1
Couldn’t finish it.,0
A stunning piece of cinema.,1
Unwatchable mess.,0
A delightful journey.,1
Unwatchable mess.,0
Brilliant from start to finish.,1
"Some good, some bad.",1
Mediocre but watchable.,1
Incredible acting and direction.,1
"It was okay, not too bad.",1
"It was okay, not too bad.",1
Had its moments.,1
"Not great, not terrible.",1
A decent watch for a lazy evening.,1
A must-watch for everyone.,1
"Just fine, nothing more.",1
"It was okay, not too bad.",1
Laughably bad.,0
A delightful journey.,1
Uplifting and powerful.,1
"Not great, not terrible.",1
Uplifting and powerful.,1
Uplifting and powerful.,1
"Just fine, nothing more.",1
"Just fine, nothing more.",1
"Just fine, nothing more.",1
Mediocre but watchable.,1
Regret watching it.,0
Mildly entertaining.,1
Painful to sit through.,0
An absolute masterpiece!,1
Terrible plot and worse acting.,0
Unwatchable mess.,0
Couldn’t finish it.,0
A feel-good experience.,1
Made no sense at all.,0
Couldn’t finish it.,0
What a disappointment.,0
An absolute masterpiece!,1
A feel-good experience.,1
Incredible acting and direction.,1
Completely boring.,0
Painful to sit through.,0
What a disappointment.,0
Couldn’t finish it.,0
A must-watch for everyone.,1
A stunning piece of cinema.,1
Made no sense at all.,0
Could have been better.,1
Mediocre but watchable.,1
Left me in awe.,1
Unwatchable mess.,0
Couldn’t finish it.,0
What a disappointment.,0
"Some good, some bad.",1
A stunning piece of cinema.,1
Terrible plot and worse acting.,0
Loved every minute of it.,1
Couldn’t finish it.,0
Made no sense at all.,0
Painful to sit through.,0
Could have been better.,1
Painful to sit through.,0
A stunning piece of cinema.,1
Incredible acting and direction.,1
